skill	files	size_bytes	skill_md_lines	description
image-tech-md-rebuilder	2	10745	70	Rebuild complete technical Markdown documents from screenshot image folders. Use when the user gives an image path or folder of screenshots from a non-copyable cloud document, especially Chinese/English technical notes, interview prep, architecture docs, code snippets, tables, diagrams, or asks to "复刻/还原/提取图片里的MD/技术文档" rather than produce per-image OCR.
jiangyu-word-report-style	3	14577	50	Generate or edit Word/DOCX reports in Jiangyu's internship handover report format. Use whenever this user asks for a Word document, Word report, docx deliverable, technical report, implementation plan, interview QA report, handover document, or asks to follow the 019dd837-de97-7cf2-8114-baf80bad0e1f handover Word style, including Chinese reports that need the same fonts, spacing, cover, tables, and verification workflow.
mean-reviewer	12	4680244	148	Roleplay as the "Armchair Executioner" — a maximally destructive, minimally accountable peer reviewer. Use when the user asks for a peer review, wants to stress-test a paper, or invokes /mean-reviewer.
neat-freak	3	16558	116	>
nwafu-reference-list-md-docx	2	11400	29	Format an NWAFU master's thesis reference list in a Markdown draft and export it to a thesis-style Word (.docx) list. Use when you need to remove numeric labels, group Chinese references before English references, sort the English references A-Z by first author, normalize one-entry-per-paragraph, and generate a Word copy with hanging indent (for pasting into the final thesis document).
nwafu-thesis-writing	5	8354	40	Write Northwest A&F University (西北农林科技大学, NWAFU) master’s thesis content with the correct author–year (著者-出版年) in-text citations and GB/T 7714-2015 author–year (gb7714-2015ay) bibliography style. Use when drafting or revising thesis sections/chapters (摘要/文献综述/方法/系统设计等), converting a paper (e.g., manuscript.docx) into thesis writing, or checking/fixing citation + reference list formatting for the nwafuthesis LaTeX template or Word/Markdown drafts (e.g., “Li et al., 2024” style).
pptx	59	1130135	168	Use this skill any time a .pptx file is involved in any way — as input, output, or both. This includes: creating slide decks, pitch decks, or presentations; reading, parsing, or extracting text from any .pptx file (even if the extracted content will be used elsewhere, like in an email or summary); editing, modifying, or updating existing presentations; combining or splitting slide files; working with templates, layouts, speaker notes, or comments. Trigger whenever the user mentions \"deck,\" \"slides,\" \"presentation,\" or references a .pptx filename, regardless of what they plan to do with the content afterward. If a .pptx file needs to be opened, created, or touched, use this skill.
research-analysis-subagent	3	5448	16	Use when processing one paper directory for the research workflow and writing Analysis_Detail.md from paper.md plus paper_artifacts
research-workflow	16	71106	32	Use when the user asks to generate a research report from paper links, batch-download papers, convert PDFs to Markdown, or export a research report to Word
thesis-technical-route-drawio	3	8391	36	Create and refine thesis technical route diagrams (技术路线图) in Draw.io (.drawio) with paper-style black/white visuals, dashed section frames, rectangular blocks, and orthogonal connectors. Use when asked to generate or polish a drawio technical路线图/flowchart/architecture figure (especially when mimicking a reference image) and you must ensure connectors are straight/orthogonal and never cross text.
thesis-three-line-tables	6	24099	47	Generate and polish thesis “三线表” tables from per-table CSV files, export them into a Word (.docx) document, and optionally sync aligned three-line text tables back into a Markdown thesis draft. Use when you need: (1) one CSV per table (Excel-friendly UTF-8 BOM), (2) Word three-line table formatting (no vertical lines; thick top/bottom rules; thin header separator; header bold; numeric alignment), (3) special beautification for long-text tables (e.g., API endpoint lists), or (4) batch table export for direct copy/paste into a Chinese thesis/dissertation.
lark-approval	1	1827	43	飞书审批 API：审批实例、审批任务管理。
lark-attendance	1	1908	43	飞书考勤打卡：查询自己的考勤打卡记录
lark-base	93	423183	256	当需要用 lark-cli 操作飞书多维表格（Base）时调用：搜索 Base、建表、字段管理、记录读写、记录分享链接、视图配置、历史查询，以及角色/表单/仪表盘管理/工作流；也适用于把旧的 +table / +field / +record 写法改成当前命令写法。涉及字段设计、公式字段、查找引用、跨表计算、行级派生指标、数据分析需求时也必须使用本 skill。
lark-calendar	9	69665	127	飞书日历（calendar）：提供日历与日程（会议）的全面管理能力。核心场景包括：查看/搜索日程、创建/更新日程、管理参会人、查询忙闲状态及推荐空闲时段、查询/搜索与预定会议室。注意：涉及【预约日程/会议】或【查询/预定会议室】时，必须先读取 references/lark-calendar-schedule-meeting.md 工作流！高频操作请优先使用 Shortcuts：+agenda（快速概览今日/近期行程）、+create（创建日程并按需邀请参会人及预定会议室）、+update（更新既有日程字段，或独立增删参会人/会议室）、+freebusy（查询用户主日历的忙闲信息和rsvp的状态）、+rsvp（回复日程邀请）
lark-contact	3	8913	36	飞书 / Lark 通讯录,用于按姓名 / 邮箱把员工解析成 open_id,以及按 open_id 反查员工的姓名 / 部门 / 邮箱 / 联系方式。当用户说出某人姓名而下一步需要发消息 / 加群 / 排日程时,先用本 skill 把姓名换成 ID;当输出里出现 open_id 需要展示成姓名给用户看,或用户直接询问某人的部门 / 邮箱 / 联系方式时,用本 skill 查。不负责部门树遍历、按部门列员工、组织架构图,这类需求走原生 OpenAPI。
lark-doc	14	86941	58	飞书云文档（v2）：创建和编辑飞书文档。使用本 skill 时，docs +create、docs +fetch、docs +update 必须携带 --api-version v2；默认使用 DocxXML 格式（也支持 Markdown）。创建文档、获取文档内容（支持 simple/with-ids/full 三种导出详细度，以及 full/outline/range/keyword/section 五种局部读取模式，可按目录、block id 区间、关键词或标题自动成节只拉部分内容以节省上下文）、更新文档（八种指令：str_replace/block_insert_after/block_copy_insert_after/block_replace/block_delete/block_move_after/overwrite/append）、上传和下载文档中的图片和文件、搜索云空间文档。当用户需要创建或编辑飞书文档、读取文档内容、在文档中插入图片、搜索云空间文档时使用；如果用户是想按名称或关键词先定位电子表格、报表等云空间对象，也优先使用本 skill 的 docs +search 做资源发现。
lark-drive	18	124331	254	飞书云空间：管理云空间中的文件和文件夹。上传和下载文件、创建文件夹、复制/移动/删除文件、查看文件元数据、管理文档评论、管理文档权限、订阅用户评论变更事件、修改文件标题（docx、sheet、bitable、file、folder、wiki）；也负责把本地 Word/Markdown/Excel/CSV 以及 Base 快照（.base）导入为飞书在线云文档（docx、sheet、bitable）。当用户需要上传或下载文件、整理云空间目录、查看文件详情、管理评论、管理文档权限、修改文件标题、订阅用户评论变更事件，或要把本地文件导入成新版文档、电子表格、多维表格/Base 时使用。
lark-event	2	12229	99	Lark/Feishu real-time event listening / subscribing / consuming: stream events as NDJSON via `lark-cli event consume <EventKey>` (covers IM message receive, reactions, chat member changes, etc.). Use for Lark bots, real-time message processing, long-running subscribers, streaming webhook/push handlers. Supports `--max-events` / `--timeout` bounded runs and a stderr ready-marker contract — designed for AI agents running as subprocesses.
lark-im	13	96664	110	飞书即时通讯：收发消息和管理群聊。发送和回复消息、搜索聊天记录、管理群聊成员、上传下载图片和文件（支持大文件分片下载）、管理表情回复。当用户需要发消息、查看或搜索聊天记录、下载聊天中的文件、查看群成员时使用。
lark-mail	18	167929	457	飞书邮箱 — draft, compose, send, reply, forward, read, and search emails; manage drafts, folders, labels, contacts, attachments, and mail rules. Use when user mentions 起草邮件, 写一封邮件, 拟邮件, 草稿, 发通知邮件, 发送邮件, 发邮件, 回复邮件, 转发邮件, 查看邮件, 看邮件, 读邮件, 搜索邮件, 查邮件, 收件箱, 邮件会话, 编辑草稿, 管理草稿, 下载附件, 邮件文件夹, 邮件标签, 邮件联系人, 监听新邮件, 收信规则, 邮件规则, draft, compose, send email, reply, forward, inbox, mail thread, mail rules.
lark-markdown	4	9663	38	飞书 Markdown：查看、创建、上传和编辑 Markdown 文件。当用户需要创建或编辑 Markdown 文件、读取或修改时使用。
lark-minutes	4	32330	105	飞书妙记：妙记相关基本功能。1.查询妙记列表（按关键词/所有者/参与者/时间范围）；2.获取妙记基础信息（标题、封面、时长 等）；3.下载妙记音视频文件；4.获取妙记相关 AI 产物（总结、待办、章节）；5.上传音视频生成妙记，也支持将本地音视频文件转成纪要、逐字稿、文字稿、撰写文字等产物。遇到这类请求时，应优先使用本 skill，而不是尝试 `ffmpeg`、`whisper` 等本地转写命令。飞书妙记 URL 格式: http(s)://<host>/minutes/<minute-token>
lark-okr	11	64118	101	飞书 OKR：管理目标与关键结果。查看和编辑 OKR 周期、目标（Objective）、关键结果（Key Result）、对齐关系、量化指标和进展记录。当用户需要查看或创建 OKR、管理目标和关键结果、查看对齐关系时使用。
lark-openapi-explorer	1	5215	109	飞书/Lark 原生 OpenAPI 探索：从官方文档库中挖掘未经 CLI 封装的原生 OpenAPI 接口。当用户的需求无法被现有 lark-* skill 或 lark-cli 已注册命令满足，需要查找并调用原生飞书 OpenAPI 时使用。
lark-shared	1	6118	94	飞书/Lark CLI 共享基础：应用配置初始化、认证登录（auth login）、身份切换（--as user/bot）、权限与 scope 管理、Permission denied 错误处理、安全规则。当用户需要第一次配置(`lark-cli config init`)、使用登录授权(`lark-cli auth login`)、遇到权限不足、切换 user/bot 身份、配置 scope、或首次使用 lark-cli 时触发。
lark-sheets	11	59958	263	飞书电子表格：创建和操作电子表格。支持创建表格、创建/复制/删除/更新工作表、读写单元格、追加行数据、查找内容、导出文件。当用户需要创建电子表格、管理工作表、批量读写数据、在已知表格中查找内容、导出或下载表格时使用。若用户是想按名称或关键词搜索云空间里的表格文件，请改用 lark-doc 的 docs +search 先定位资源。
lark-skill-maker	1	2748	64	创建 lark-cli 的自定义 Skill。当用户需要把飞书 API 操作封装成可复用的 Skill（包装原子 API 或编排多步流程）时使用。
lark-slides	64	4065011	409	飞书幻灯片：创建和编辑幻灯片，接口通过 XML 协议通信。创建演示文稿、读取幻灯片内容、管理幻灯片页面（创建、删除、读取、局部替换）。当用户需要创建或编辑幻灯片、读取或修改单个页面时使用。
lark-task	18	37589	135	飞书任务：管理任务、清单和任务智能体。创建待办任务、查看和更新任务状态、拆分子任务、组织任务清单、分配协作成员、注册或注销任务智能体、更新任务智能体的主页数据、写入智能体任务记录。当用户需要创建待办事项、查看任务列表、跟踪任务进度、管理项目清单或给他人分配任务、注册注销任务智能体、更新智能体主页数据、写入任务记录时使用。
lark-vc	4	29006	122	飞书视频会议：查询会议记录、获取会议纪要产物（总结、待办、章节、逐字稿）。1. 查询已经结束的会议数量或详情时使用本技能(如历史日期｜ 昨天 | 上周 | 今天已经开过的会议等场景)，查询未开始的会议日程使用 lark-calendar 技能。2. 支持通过关键词、时间范围、组织者、参与者、会议室等筛选条件搜索会议记录。3. 获取或整理会议纪要时使用本技能。
lark-whiteboard	28	221562	111	>
lark-wiki	4	32379	82	飞书知识库：管理知识空间、空间成员和文档节点。创建和查询知识空间、查看和管理空间成员、管理节点层级结构、在知识库中组织文档和快捷方式。当用户需要在知识库中查找或创建文档、浏览知识空间结构、查看或管理空间成员、移动或复制节点时使用。
lark-workflow-meeting-summary	1	4471	79	会议纪要整理工作流：汇总指定时间范围内的会议纪要并生成结构化报告。当用户需要整理会议纪要、生成会议周报、回顾一段时间内的会议内容时使用。
lark-workflow-standup-report	1	4647	92	日程待办摘要：编排 calendar +agenda 和 task +get-my-tasks，生成指定日期的日程与未完成任务摘要。适用于了解今天/明天/本周的安排。
